Month,Year,Day,Solar Radiation (w/m^2),Sunshine (Hours),Cloudy (Hours),R.H_9_am ,R.H_2_pm,Max Temp (°C),Min Temp (°C),Rainfall (millimeter),Evaporation (millimeter)
January,2019,1,308.88,7.8,2.9,78,43,29,12.8,0,2
January,2019,2,303.92,7.6,3.1,78,45,28,12.8,0,2
January,2019,3,294,7.2,3.5,83,46,27.5,11.8,0,1
January,2019,4,284.07,6.8,3.9,82,43,26.2,11,0,2
January,2019,5,318.8,8.2,2.5,79,45,27.5,11.2,0,3
January,2019,6,323.76,8.4,2.3,78,46,28.4,11.8,0,2
January,2019,7,321.28,8.3,2.4,79,52,29.5,11.2,0,3
January,2019,8,306.4,7.7,3,74,41,27.5,12.2,0,3
January,2019,9,271.67,6.3,4.4,69,48,27,13.4,0,2
January,2019,10,276.63,6.5,4.2,77,46,27.8,12.8,0,0
January,2019,11,301.44,7.5,3.2,82,48,26.5,12.2,0,0
January,2019,12,394,7.2,3.5,83,43,27.2,10.8,0,0
January,2019,13,398.96,7.4,3.3,78,52,28.4,12.4,0,5
January,2019,14,294,7.2,3.5,73,45,28,12.5,0,0
January,2019,15,311.36,7.9,2.8,72,43,26.6,13.8,0,2
January,2019,16,308.88,7.8,2.9,58,45,28,12.8,0,2
January,2019,17,269.19,6.2,4.5,77,46,28.5,12.8,0,2
January,2019,18,259.27,5.8,4.9,88,45,27.5,12.4,0,1
January,2019,19,246.86,5.3,5.4,88,41,27.2,14.4,0,2
January,2019,20,311.36,7.9,2.8,83,54,28.2,14.7,0,2
January,2019,21,298.96,7.4,3.3,74,53,29.2,15.4,0,3
January,2019,22,318.8,8.2,2.5,83,53,29.5,13.4,0,2
January,2019,23,308.88,7.8,2.9,79,44,30,13,0,3
January,2019,24,296.48,7.3,3.4,79,51,30,13.4,0,2
January,2019,25,311.38,7.9,2.8,71,44,30.5,14,0,2
January,2019,26,294,7.2,3.5,79,47,30.6,16.2,0,3
January,2019,27,296.48,7.3,3.4,71,51,30.7,18.8,0,3
January,2019,28,184.95,2.8,7.9,79,58,27.2,18.4,0,3
January,2019,29,246.63,6.5,4.2,68,49,25.7,16.5,0,3
January,2019,30,308.88,7.8,2.9,67,40,26,10.4,0,2
January,2019,31,333.68,8.8,1.9,88,45,28.5,11.6,0,0
February,2019,1,343.47,7.3,3.9,83,42,30.5,11.8,0,1
February,2019,2,382.87,8.7,2.5,79,46,29.4,14.2,0,2
February,2019,3,380.05,8.6,2.6,70,46,29.5,13.6,0,4
February,2019,4,396.98,9.2,2,66,40,29,13.2,0,4
February,2019,5,357.48,7.8,3.4,60,38,29,13.6,0,3
February,2019,6,351.84,7.6,3.6,78,45,28.5,12.2,0,4
